Institute,Academic Program Name,Category,Gender,Defense,PWD,State,Category_Key,Closing Rank
"Government College of Engineering, Amravati",Civil Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENS,45820
"Government College of Engineering, Amravati",Civil Engineering,SC,Gender-Neutral,No,No,Maharashtra,GSCS,54803
"Government College of Engineering, Amravati",Civil Engineering,ST,Gender-Neutral,No,No,Maharashtra,GSTS,85528
"Government College of Engineering, Amravati",Civil Engineering,VJ,Gender-Neutral,No,No,Maharashtra,GVJS,53198
"Government College of Engineering, Amravati",Civil Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT1S,55202
"Government College of Engineering, Amravati",Civil Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT2S,47207
"Government College of Engineering, Amravati",Civil Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT3S,58799
"Government College of Engineering, Amravati",Civil Engineering,OBC,Gender-Neutral,No,No,Maharashtra,GOBCS,55212
"Government College of Engineering, Amravati",Civil Engineering,Open,Female-Only,No,No,Maharashtra,LOPENS,39555
"Government College of Engineering, Amravati",Civil Engineering,SC,Female-Only,No,No,Maharashtra,LSCS,58069
"Government College of Engineering, Amravati",Civil Engineering,ST,Female-Only,No,No,Maharashtra,LSTS,81275
"Government College of Engineering, Amravati",Civil Engineering,VJ,Female-Only,No,No,Maharashtra,LVJS,55889
"Government College of Engineering, Amravati",Civil Engineering,NT,Female-Only,No,No,Maharashtra,LNT1S,71604
"Government College of Engineering, Amravati",Civil Engineering,NT,Female-Only,No,No,Maharashtra,LNT2S,59895
"Government College of Engineering, Amravati",Civil Engineering,NT,Female-Only,No,No,Maharashtra,LNT3S,85506
"Government College of Engineering, Amravati",Civil Engineering,OBC,Female-Only,No,No,Maharashtra,LOBCS,50933
"Government College of Engineering, Amravati",Civil Engineering,Open,Gender-Neutral,No,Yes,Maharashtra,PWDOPENS,66222
"Government College of Engineering, Amravati",Civil Engineering,Open,Gender-Neutral,Yes,No,Maharashtra,DEFOPENS,114710
"Government College of Engineering, Amravati",Civil Engineering,,Gender-Neutral,No,No,Maharashtra,TFWS,25437
"Government College of Engineering, Amravati",Civil Engineering,EWS,Gender-Neutral,No,No,Maharashtra,EWS,51497
"Government College of Engineering, Amravati","Computer Science and
Engineering",Open,Gender-Neutral,No,No,Maharashtra,GOPENS,6839
"Government College of Engineering, Amravati","Computer Science and
Engineering",SC,Gender-Neutral,No,No,Maharashtra,GSCS,14995
"Government College of Engineering, Amravati","Computer Science and
Engineering",ST,Gender-Neutral,No,No,Maharashtra,GSTS,42063
"Government College of Engineering, Amravati","Computer Science and
Engineering",VJ,Gender-Neutral,No,No,Maharashtra,GVJS,10351
"Government College of Engineering, Amravati","Computer Science and
Engineering",NT,Gender-Neutral,No,No,Maharashtra,GNT1S,13430
"Government College of Engineering, Amravati","Computer Science and
Engineering",NT,Gender-Neutral,No,No,Maharashtra,GNT2S,10052
"Government College of Engineering, Amravati","Computer Science and
Engineering",NT,Gender-Neutral,No,No,Maharashtra,GNT3S,15513
"Government College of Engineering, Amravati","Computer Science and
Engineering",OBC,Gender-Neutral,No,No,Maharashtra,GOBCS,7626
"Government College of Engineering, Amravati","Computer Science and
Engineering",Open,Female-Only,No,No,Maharashtra,LOPENS,7359
"Government College of Engineering, Amravati","Computer Science and
Engineering",SC,Female-Only,No,No,Maharashtra,LSCS,18093
"Government College of Engineering, Amravati","Computer Science and
Engineering",ST,Female-Only,No,No,Maharashtra,LSTS,46043
"Government College of Engineering, Amravati","Computer Science and
Engineering",OBC,Female-Only,No,No,Maharashtra,LOBCS,8159
"Government College of Engineering, Amravati","Computer Science and
Engineering",Open,Gender-Neutral,No,Yes,Maharashtra,PWDOPENS,41373
"Government College of Engineering, Amravati","Computer Science and
Engineering",Open,Gender-Neutral,Yes,No,Maharashtra,DEFOPENS,14766
"Government College of Engineering, Amravati","Computer Science and
Engineering",,Gender-Neutral,No,No,Maharashtra,TFWS,6790
"Government College of Engineering, Amravati","Computer Science and
Engineering",EWS,Gender-Neutral,No,No,Maharashtra,EWS,16792
"Government College of Engineering, Amravati","Computer Science and
Engineering",OBC,Gender-Neutral,No,Yes,Maharashtra,"PWDROBC
S",45737
"Government College of Engineering, Amravati",Information Technology,Open,Gender-Neutral,No,No,Maharashtra,GOPENS,10303
"Government College of Engineering, Amravati",Information Technology,SC,Gender-Neutral,No,No,Maharashtra,GSCS,18667
"Government College of Engineering, Amravati",Information Technology,ST,Gender-Neutral,No,No,Maharashtra,GSTS,43516
"Government College of Engineering, Amravati",Information Technology,VJ,Gender-Neutral,No,No,Maharashtra,GVJS,23597
"Government College of Engineering, Amravati",Information Technology,NT,Gender-Neutral,No,No,Maharashtra,GNT1S,16268
"Government College of Engineering, Amravati",Information Technology,NT,Gender-Neutral,No,No,Maharashtra,GNT2S,12552
"Government College of Engineering, Amravati",Information Technology,NT,Gender-Neutral,No,No,Maharashtra,GNT3S,16999
"Government College of Engineering, Amravati",Information Technology,OBC,Gender-Neutral,No,No,Maharashtra,GOBCS,11044
"Government College of Engineering, Amravati",Information Technology,Open,Female-Only,No,No,Maharashtra,LOPENS,9567
"Government College of Engineering, Amravati",Information Technology,SC,Female-Only,No,No,Maharashtra,LSCS,21001
"Government College of Engineering, Amravati",Information Technology,ST,Female-Only,No,No,Maharashtra,LSTS,55122
"Government College of Engineering, Amravati",Information Technology,NT,Female-Only,No,No,Maharashtra,LNT1S,16115
"Government College of Engineering, Amravati",Information Technology,NT,Female-Only,No,No,Maharashtra,LNT2S,12233
"Government College of Engineering, Amravati",Information Technology,OBC,Female-Only,No,No,Maharashtra,LOBCS,10354
"Government College of Engineering, Amravati",Information Technology,Open,Gender-Neutral,No,Yes,Maharashtra,PWDOPENS,66253
"Government College of Engineering, Amravati",Information Technology,Open,Gender-Neutral,Yes,No,Maharashtra,DEFOPENS,30013
"Government College of Engineering, Amravati",Information Technology,,Gender-Neutral,No,No,Maharashtra,TFWS,9138
"Government College of Engineering, Amravati",Information Technology,EWS,Gender-Neutral,No,No,Maharashtra,EWS,12526
"Government College of Engineering, Amravati",Information Technology,OBC,Gender-Neutral,Yes,No,Maharashtra,DEFROBCS,30456
"Government College of Engineering, Amravati",Information Technology,SC,Gender-Neutral,No,Yes,Maharashtra,PWDRSCS,71173
"Government College of Engineering, Amravati",Electrical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENS,31193
"Government College of Engineering, Amravati",Electrical Engineering,SC,Gender-Neutral,No,No,Maharashtra,GSCS,45777
"Government College of Engineering, Amravati",Electrical Engineering,ST,Gender-Neutral,No,No,Maharashtra,GSTS,92626
"Government College of Engineering, Amravati",Electrical Engineering,VJ,Gender-Neutral,No,No,Maharashtra,GVJS,39357
"Government College of Engineering, Amravati",Electrical Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT1S,42146
"Government College of Engineering, Amravati",Electrical Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT2S,47720
"Government College of Engineering, Amravati",Electrical Engineering,OBC,Gender-Neutral,No,No,Maharashtra,GOBCS,34759
"Government College of Engineering, Amravati",Electrical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENS,26636
"Government College of Engineering, Amravati",Electrical Engineering,SC,Female-Only,No,No,Maharashtra,LSCS,34812
"Government College of Engineering, Amravati",Electrical Engineering,ST,Female-Only,No,No,Maharashtra,LSTS,121868
"Government College of Engineering, Amravati",Electrical Engineering,VJ,Female-Only,No,No,Maharashtra,LVJS,32994
"Government College of Engineering, Amravati",Electrical Engineering,NT,Female-Only,No,No,Maharashtra,LNT3S,87211
"Government College of Engineering, Amravati",Electrical Engineering,OBC,Female-Only,No,No,Maharashtra,LOBCS,31414
"Government College of Engineering, Amravati",Electrical Engineering,Open,Gender-Neutral,Yes,No,Maharashtra,DEFOPENS,92685
"Government College of Engineering, Amravati",Electrical Engineering,,Gender-Neutral,No,No,Maharashtra,TFWS,24140
"Government College of Engineering, Amravati",Electrical Engineering,EWS,Gender-Neutral,No,No,Maharashtra,EWS,37774
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",Open,Gender-Neutral,No,No,Maharashtra,GOPENS,16356
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",SC,Gender-Neutral,No,No,Maharashtra,GSCS,27969
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",ST,Gender-Neutral,No,No,Maharashtra,GSTS,89313
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",VJ,Gender-Neutral,No,No,Maharashtra,GVJS,30699
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",NT,Gender-Neutral,No,No,Maharashtra,GNT1S,17854
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",NT,Gender-Neutral,No,No,Maharashtra,GNT2S,21528
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",NT,Gender-Neutral,No,No,Maharashtra,GNT3S,30062
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",OBC,Gender-Neutral,No,No,Maharashtra,GOBCS,17589
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",Open,Female-Only,No,No,Maharashtra,LOPENS,14555
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",SC,Female-Only,No,No,Maharashtra,LSCS,25655
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",ST,Female-Only,No,No,Maharashtra,LSTS,81186
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",VJ,Female-Only,No,No,Maharashtra,LVJS,41670
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",NT,Female-Only,No,No,Maharashtra,LNT2S,22022
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",OBC,Female-Only,No,No,Maharashtra,LOBCS,16887
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",Open,Gender-Neutral,No,Yes,Maharashtra,PWDOPENS,129864
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",Open,Gender-Neutral,Yes,No,Maharashtra,DEFOPENS,50151
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",,Gender-Neutral,No,No,Maharashtra,TFWS,14528
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",EWS,Gender-Neutral,No,No,Maharashtra,EWS,20602
"Government College of Engineering, Amravati","Electronics and
Telecommunication Engg",OBC,Gender-Neutral,Yes,No,Maharashtra,DEFROBCS,62434
"Government College of Engineering, Amravati","Instrumentation
Engineering",Open,Gender-Neutral,No,No,Maharashtra,GOPENS,52017
"Government College of Engineering, Amravati","Instrumentation
Engineering",SC,Gender-Neutral,No,No,Maharashtra,GSCS,70454
"Government College of Engineering, Amravati","Instrumentation
Engineering",ST,Gender-Neutral,No,No,Maharashtra,GSTS,113354
"Government College of Engineering, Amravati","Instrumentation
Engineering",VJ,Gender-Neutral,No,No,Maharashtra,GVJS,110749
"Government College of Engineering, Amravati","Instrumentation
Engineering",NT,Gender-Neutral,No,No,Maharashtra,GNT2S,64948
"Government College of Engineering, Amravati","Instrumentation
Engineering",OBC,Gender-Neutral,No,No,Maharashtra,GOBCS,60742
"Government College of Engineering, Amravati","Instrumentation
Engineering",Open,Female-Only,No,No,Maharashtra,LOPENS,49557
"Government College of Engineering, Amravati","Instrumentation
Engineering",SC,Female-Only,No,No,Maharashtra,LSCS,73669
"Government College of Engineering, Amravati","Instrumentation
Engineering",ST,Female-Only,No,No,Maharashtra,LSTS,108341
"Government College of Engineering, Amravati","Instrumentation
Engineering",NT,Female-Only,No,No,Maharashtra,LNT1S,73493
"Government College of Engineering, Amravati","Instrumentation
Engineering",OBC,Female-Only,No,No,Maharashtra,LOBCS,60133
"Government College of Engineering, Amravati","Instrumentation
Engineering",,Gender-Neutral,No,No,Maharashtra,TFWS,36146
"Government College of Engineering, Amravati","Instrumentation
Engineering",EWS,Gender-Neutral,No,No,Maharashtra,EWS,51922
"Government College of Engineering, Amravati",Mechanical Engineering,Open,Gender-Neutral,No,No,Maharashtra,GOPENS,38651
"Government College of Engineering, Amravati",Mechanical Engineering,SC,Gender-Neutral,No,No,Maharashtra,GSCS,61419
"Government College of Engineering, Amravati",Mechanical Engineering,ST,Gender-Neutral,No,No,Maharashtra,GSTS,117713
"Government College of Engineering, Amravati",Mechanical Engineering,VJ,Gender-Neutral,No,No,Maharashtra,GVJS,56910
"Government College of Engineering, Amravati",Mechanical Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT1S,47365
"Government College of Engineering, Amravati",Mechanical Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT2S,50166
"Government College of Engineering, Amravati",Mechanical Engineering,NT,Gender-Neutral,No,No,Maharashtra,GNT3S,56879
"Government College of Engineering, Amravati",Mechanical Engineering,OBC,Gender-Neutral,No,No,Maharashtra,GOBCS,43574
"Government College of Engineering, Amravati",Mechanical Engineering,Open,Female-Only,No,No,Maharashtra,LOPENS,41931
"Government College of Engineering, Amravati",Mechanical Engineering,SC,Female-Only,No,No,Maharashtra,LSCS,59704
"Government College of Engineering, Amravati",Mechanical Engineering,ST,Female-Only,No,No,Maharashtra,LSTS,106253
"Government College of Engineering, Amravati",Mechanical Engineering,VJ,Female-Only,No,No,Maharashtra,LVJS,72354
"Government College of Engineering, Amravati",Mechanical Engineering,NT,Female-Only,No,No,Maharashtra,LNT2S,49939
"Government College of Engineering, Amravati",Mechanical Engineering,OBC,Female-Only,No,No,Maharashtra,LOBCS,55239
"Government College of Engineering, Amravati",Mechanical Engineering,,Gender-Neutral,No,No,Maharashtra,TFWS,30370
"Government College of Engineering, Amravati",Mechanical Engineering,EWS,Gender-Neutral,No,No,Maharashtra,EWS,42232
"Sant Gadge Baba Amravati University,Amravati",Food Technology,Open,Gender-Neutral,No,No,Maharashtra,GOPENH,80967
"Sant Gadge Baba Amravati University,Amravati",Food Technology,SC,Gender-Neutral,No,No,Maharashtra,GSCH,84577
"Sant Gadge Baba Amravati University,Amravati",Food Technology,VJ,Gender-Neutral,No,No,Maharashtra,GVJH,141262
"Sant Gadge Baba Amravati University,Amravati",Food Technology,NT,Gender-Neutral,No,No,Maharashtra,GNT1H,131711
"Sant Gadge Baba Amravati University,Amravati",Food Technology,OBC,Gender-Neutral,No,No,Maharashtra,GOBCH,85735
"Sant Gadge Baba Amravati University,Amravati",Food Technology,Open,Female-Only,No,No,Maharashtra,LOPENH,76696
