branch_id,branch_name,primary_branch_id,primary_branch_name,specialization_name,vertical
ADMIN,Administration,,,,Management
AERO,Aerospace Engineering,,,,Engineering
AERO001,"Aerospace Engineering (4 Years, Bachelor of Technology)",AERO,Aerospace Engineering,,Engineering
AERO002,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AERO,Aerospace Engineering,,Engineering
AERO003,"Aeronautical Engineering (4 Years, Bachelor of Technology)",AERO,Aerospace Engineering,,Engineering
AERO004,"B.Tech in Aviation Engineering (4 Years, Bachelor of Technology)",AERO,Aerospace Engineering,,Engineering
AERO005,"SE Aero Space
Engg.",AERO,Aerospace Engineering,,Engineering
AERO006,AE Aeronaut.Engg,AERO,Aerospace Engineering,,Engineering
AERO007,Aeronautical Engineering,AERO,Aerospace Engineering,,Engineering
AERO008,Aerospace,AERO,Aerospace Engineering,,Engineering
AERO009,Aerospace/Aeronautical,AERO,Aerospace Engineering,,Engineering
AERO010,Avionics Engineering,AERO,Aerospace Engineering,,Engineering
AGRI,Agriculture,,,,Agriculture
AGRIENG,Agricultural Engineering,,,,Engineering
AGRIENG001,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",AGRIENG,Agricultural Engineering,,Engineering
AGRIENG002,"Agricultural Engineering (4 Years, Bachelor of Technology)",AGRIENG,Agricultural Engineering,,Engineering
AGRIENG003,"EA Agriculture
Engineering",AGRIENG,Agricultural Engineering,,Engineering
AGRIENG004,Agricultural Engineering,AGRIENG,Agricultural Engineering,,Engineering
AIML,Artificial Intelligence / Machine Learning / Data Science,,,,Engineering
AIML001,Data Science,AIML,Artificial Intelligence / Machine Learning / Data Science,,Engineering
AIML002,"Artificial Intelligence (4 Years, Bachelor of Technology)",AIML,Artificial Intelligence,,Engineering
AIML003,"Statistics and Data Science (4 Years, Bachelor of Science)",AIML,Data Science,,Engineering
AIML004,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AIML,Artificial Intelligence,,Engineering
AIML005,"Data Science and Engineering (4 Years, Bachelor of Technology)",AIML,Data Science,,Engineering
AIML006,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",AIML,Artificial Intelligence,,Engineering
AIML007,"Computational and Data Science (4 Years, Bachelor of Technology)",AIML,Data Science,,Engineering
AIML008,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",AIML,Artificial Intelligence,,Engineering
AIML009,"Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",AIML,Data Science,,Engineering
AIML010,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AIML,Artificial Intelligence,,Engineering
AIML011,Data Science,AIML,Data Science,,Engineering
AIML012,"B.Tech (Artificial Intelligence and Data Science) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AIML,Artificial Intelligence,MBA,Engineering
AIML013,Data Engineering,AIML,Data Science,,Engineering
AIML014,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",AIML,Artificial Intelligence,,Engineering
AIML015,Statistics,AIML,Data Science,,Engineering
AIML016,"Artificial Intelligence (5 Years, Integrated B. Tech. and M. Tech.)",AIML,Artificial Intelligence,,Engineering
AIML017,"B.Tech in Artificial Intelligenece and Data Science (Transportation and Logistics) (4 Years, Bachelor of Technology)",AIML,Artificial Intelligence,Transportation Engineering,Engineering
AIML018,"AI Artificial
Intelligence",AIML,Artificial Intelligence,,Engineering
AIML019,"AD Artificial
Intel, Data Sc",AIML,Artificial Intelligence,,Engineering
AIML020,RI Robotics and AI,AIML,Artificial Intelligence,Robotics Engineering,Engineering
AIML021,"Artificial Intelligence (AI)
and Data Science",AIML,Artificial Intelligence,,Engineering
AIML022,"Artificial Intelligence and
Data Science",AIML,Artificial Intelligence,,Engineering
AIML023,"Artificial Intelligence and
Machine Learning",AIML,Artificial Intelligence,,Engineering
AIML024,Artificial Intelligence,AIML,Artificial Intelligence,,Engineering
AIML025,"Robotics and Artificial
Intelligence",AIML,Artificial Intelligence,,Engineering
AIML026,AI/ML/Data Science,AIML,Artificial Intelligence,,Engineering
ARCH,Architecture,,,,Architecture
ARCH001,"Architecture (5 Years, Bachelor of Architecture)",ARCH,Architecture,,Architecture
ARCH002,"Architecture and Planning (5 Years, Bachelor of Architecture)",ARCH,Architecture,,Architecture
ARCH003,AR Architecture,ARCH,Architecture,,Architecture
ARCH004,Architecture,ARCH,Architecture,,Architecture
ARTS,Arts,,,,Humanities
ARTS001,Arts,ARTS,Arts,,Humanities
ARTS002,Fine Arts,ARTS,Fine Arts,,Humanities
