Institute,State,Exam,College_ID
Indian Institute of Technology Bhubaneswar,Odisha,JEE Advanced,1
Indian Institute of Technology Bombay,Maharashtra,JEE Advanced,2
Indian Institute of Technology Mandi,Himachal Pradesh,JEE Advanced,3
Indian Institute of Technology Delhi,New Delhi,JEE Advanced,4
Indian Institute of Technology Kharagpur,West Bengal,JEE Advanced,5
Indian Institute of Technology Kanpur,Uttar Pradesh,JEE Advanced,6
Indian Institute of Technology Gandhinagar,Gujarat,JEE Advanced,7
Indian Institute of Technology Roorkee,Uttarakhand,JEE Advanced,8
Indian Institute of Technology (ISM) Dhanbad,Jharkhand,JEE Advanced,9
Indian Institute of Technology Ropar,Punjab,JEE Advanced,10
Indian Institute of Technology Guwahati,Assam,JEE Advanced,11
Indian Institute of Technology Goa,Goa,JEE Advanced,12
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,JEE Main,13
Malaviya National Institute of Technology Jaipur,Rajasthan,JEE Main,14
Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,JEE Main,15
Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,JEE Main,16
National Institute of Technology Calicut,Kerala,JEE Main,17
National Institute of Technology Delhi,New Delhi,JEE Main,18
National Institute of Technology Durgapur,Rajasthan,JEE Main,19
National Institute of Technology Hamirpur,Himachal Pradesh,JEE Main,20
"National Institute of Technology Karnataka, Surathkal",Karnataka,JEE Main,21
National Institute of Technology Meghalaya,Meghalaya,JEE Main,22
National Institute of Technology Nagaland,Nagaland,JEE Main,23
National Institute of Technology Patna,Bihar,JEE Main,24
National Institute of Technology Puducherry,Puducherry,JEE Main,25
National Institute of Technology Raipur,Chhatisgarh,JEE Main,26
National Institute of Technology Arunachal Pradesh,Arunachal Pradesh,JEE Main,27
"National Institute of Technology, Jamshedpur",Jharkhand,JEE Main,28
"National Institute of Technology, Rourkela",Odisha,JEE Main,29
"National Institute of Technology, Silchar",Assam,JEE Main,30
"National Institute of Technology, Tiruchirappalli",Tamil Nadu,JEE Main,31
